Time,Channel A,Channel D
(ms),(V),(V)
,,
0.61623835,-1.121353,406.7269
0.62123835,-1.234282,406.4217
0.62623835,-1.413747,406.4217
0.63123835,-1.149432,406.4217
0.63623835,-1.064583,406.7269
0.64123835,-1.195214,406.1775
0.64623835,-1.392382,406.4217
0.65123835,-1.339885,406.7269
0.65623835,-1.142107,406.4217
0.66123835,-1.012086,406.1775
0.66623835,-1.216579,406.4217
0.67123835,-1.276401,406.9711
0.67623835,-1.417409,406.4217
0.68123835,-1.096325,406.7269
0.68623835,-1.096325,406.4217
0.69123835,-1.266024,406.7269
0.69623835,-1.304481,406.7269
0.70123835,-1.251373,406.7269
0.70623835,-1.075571,406.7269
0.71123835,-1.184837,406.4217
0.71623835,-1.181174,406.4217
0.72123835,-1.385667,406.1775
0.72623835,-1.10365,406.7269
0.73123835,-1.15981,406.7269
0.73623835,-1.057868,406.1775
0.74123835,-1.357588,406.4217
0.74623835,-0.871078,406.1775
0.75123835,-1.205591,406.7269
0.75623835,-1.026126,406.1775
0.76123835,-1.283116,406.4217
0.76623835,-1.219631,406.1775
0.77123835,-1.276401,406.7269
0.77623835,-1.029789,406.1775
0.78123835,-1.139055,406.4217
0.78623835,-1.149432,406.4217
0.79123835,-1.297155,406.4217
0.79623835,-1.135392,406.9711
0.80123835,-1.153095,406.7269
0.80623835,-0.9693566,406.7269
0.81123835,-1.258699,406.4217
0.81623835,-1.043829,406.9711
0.82123835,-1.13173,406.7269
0.82623835,-1.040166,406.9711
0.83123835,-1.230619,406.9711
0.83623835,-1.198877,406.9711
0.84123834,-1.244659,406.9711
0.84623834,-1.012086,407.2763
0.85123834,-1.167135,406.9711
0.85623834,-1.093273,407.2763
0.86123834,-1.216579,406.7269
0.86623834,-1.153095,406.9711
0.87123834,-1.149432,406.9711
0.87623834,-0.8283482,407.2763
0.88123834,-1.163472,406.9711
0.88623834,-1.085948,406.9711
0.89123834,-1.114028,406.9711
0.89623834,-1.15981,406.7269
0.90123834,-1.15981,406.7269
0.90623834,-1.202539,406.4217
0.91123834,-1.125015,406.7269
0.91623834,-1.153095,406.7269
0.92123834,-1.110365,406.4217
0.92623834,-1.248321,406.4217
0.93123834,-1.212917,406.4217
0.93623834,-1.230619,406.4217
0.94123834,-1.096325,406.9711
0.94623834,-1.170797,406.7269
0.95123834,-1.018801,406.7269
0.95623834,-1.15981,406.9711
0.96123834,-1.139055,406.7269
0.96623834,-1.212917,406.7269
0.97123834,-1.13173,406.4217
0.97623834,-1.230619,406.4217
